alpha,rank,node,score,node_label
0.5,11,0ed015299d4dbef69fa5f6b8d70a9d7,683.7104650361877,d6ee9b882cf47399d658ee96536354f
0.5,12,a6a0ba5336ca3c41b0ea658e1960c34,670.108946366186,4d3c2780592f8da75c04ae1ec2acf82
0.5,13,c41f78e6d801cd6d2336facd3ada846,634.5076831686122,d7afa383019a95f520ef98f6e85dba9
0.5,14,de820db42926b17b057cc7516017427,629.0993562228466,c1b294d4fc442cab1938c321467d46e
0.5,15,2f10b599c24d49830a3ae1f07eb6cc6,627.9251547756309,697f933343b126a5285a45e62cbb29b
0.5,16,52a2de2ba70338b97f2ee31cfdd19da,598.8889713461085,7c5d183434884809dcf48b600154794
0.5,17,4395d08075ba57e81cd6745a3b34a29,575.7777348942906,d43edfece0cbf41f9b6913b197253aa
0.5,18,2c6917d4f8ffae2cc97a38b0d9bc0af,569.1563932698991,773bb37e7194c7e5d508a5a560b7cd9
0.5,19,868c4cc977fd96e30c0d52a8a51bc9a,558.8559742903354,d6f4c4a284ea0089474f71a79b6eb8d
0.5,20,393c2b6a4668d8832b04fcdbf810002,557.0035906526995,635384a0bb45d4bdbc14b74a12d4d83
0.75,1,999246518573af4b1756e96b5da8c15,1906.2786331864481,e91fc738f7c2969b5693bd5a3b6a7e2
0.75,2,5570fb689528e01c515604476fead7b,1699.6427609089774,4f11b5ae12b263cd102af2fb53c6e59
0.75,3,126c0412a08a77cd21d1321d32b4a30,1601.6428957230369,faa5436acf21229165219bdf2a15ae1
0.75,4,511d6385b5d2b26cb65e6f4c95c66e0,1445.4445712661695,0101227188b0a94ee84c4c570a3fe21
0.75,5,79eb33248a8ff285909d4e4d7221c00,1303.6034524479223,cff2f8b492fd60699f4c0efcd3c18e3
0.75,6,d92b9d59861f8c5412e13df58f688b6,1070.8898341818226,e3a2c4e68206caf3f58668cf81af3dd
0.75,7,e1f602a771f4428666359b90524e4bd,926.7908313531398,1461367cc91b837e1b6547abe83c1ee
0.75,8,a36b87b046f6a351668f1684778c29c,863.7767428272994,4f05e6cfb0149168f7ac243c657dd38
0.75,9,cbdfe8f8b33545ef44b4965fa6d2cd4,782.422862188376,ba709cf3cee4e50bb7c2f35bd5f6088
0.75,10,78d15ba833cf540baf73439626a3ab0,763.6995130073601,c492269338a9662bb6c29858e8cdaf0
0.75,11,0ed015299d4dbef69fa5f6b8d70a9d7,708.8915232964757,d6ee9b882cf47399d658ee96536354f
0.75,12,a6a0ba5336ca3c41b0ea658e1960c34,704.6635574920444,4d3c2780592f8da75c04ae1ec2acf82
0.75,13,52a2de2ba70338b97f2ee31cfdd19da,664.8158097198261,7c5d183434884809dcf48b600154794
0.75,14,de820db42926b17b057cc7516017427,662.6547748590866,c1b294d4fc442cab1938c321467d46e
0.75,15,c41f78e6d801cd6d2336facd3ada846,652.4987780878511,d7afa383019a95f520ef98f6e85dba9
0.75,16,2f10b599c24d49830a3ae1f07eb6cc6,650.5548050078296,697f933343b126a5285a45e62cbb29b
0.75,17,393c2b6a4668d8832b04fcdbf810002,612.2609055862271,635384a0bb45d4bdbc14b74a12d4d83
0.75,18,2c6917d4f8ffae2cc97a38b0d9bc0af,584.8615155361218,773bb37e7194c7e5d508a5a560b7cd9
0.75,19,868c4cc977fd96e30c0d52a8a51bc9a,583.8682593848586,d6f4c4a284ea0089474f71a79b6eb8d
0.75,20,4395d08075ba57e81cd6745a3b34a29,583.8325265497119,d43edfece0cbf41f9b6913b197253aa
1.0,1,999246518573af4b1756e96b5da8c15,2063.0,e91fc738f7c2969b5693bd5a3b6a7e2
1.0,2,5570fb689528e01c515604476fead7b,1850.0,4f11b5ae12b263cd102af2fb53c6e59
1.0,3,126c0412a08a77cd21d1321d32b4a30,1741.0,faa5436acf21229165219bdf2a15ae1
1.0,4,511d6385b5d2b26cb65e6f4c95c66e0,1506.0,0101227188b0a94ee84c4c570a3fe21
1.0,5,79eb33248a8ff285909d4e4d7221c00,1366.0,cff2f8b492fd60699f4c0efcd3c18e3
1.0,6,d92b9d59861f8c5412e13df58f688b6,1149.0,e3a2c4e68206caf3f58668cf81af3dd
1.0,7,e1f602a771f4428666359b90524e4bd,975.0,1461367cc91b837e1b6547abe83c1ee
1.0,8,a36b87b046f6a351668f1684778c29c,888.0,4f05e6cfb0149168f7ac243c657dd38
